age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,CATE
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,0,-1,0,unknown,1,-0.6602343081334988
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,0,-1,0,unknown,1,-0.14779579992117878
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,0,-1,0,unknown,1,-0.1854476088407669
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,0,-1,0,unknown,1,-1.003200801128698
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,1,-1,0,unknown,1,0.5289092141104227
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,1,-1,0,unknown,1,0.6394726198545402
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,0,-1,0,unknown,1,-0.45529800301173584
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,0,-1,0,unknown,1,-0.5281543059673345
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,0,-1,0,unknown,1,-1.406291922077769
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,1,-1,0,unknown,1,-0.00899370723030055
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,0,-1,0,unknown,1,-0.5586943792980957
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,1,-1,0,unknown,1,0.12636644816905218
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,1,-1,0,unknown,1,-0.16800095876171892
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,1,-1,0,unknown,1,0.49528057942390463
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,1,-1,0,unknown,1,0.6039845489816782
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,0,-1,0,unknown,1,-0.22772800907229604
32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,1,-1,0,unknown,1,0.6673493005396982
49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,0,-1,0,unknown,1,-0.31828674303681403
41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,1,-1,0,unknown,1,0.43430469958526524
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,0,-1,0,unknown,1,-1.1019145172377875
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,1,-1,0,unknown,1,0.8198963803387959
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,0,-1,0,unknown,1,-0.469105498645366
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,1,-1,0,unknown,1,-0.5541971723719336
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,1,-1,0,unknown,1,0.539908534351427
37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,1,-1,0,unknown,1,0.47377905841337414
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,1,-1,0,unknown,1,0.8280919381844627
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,1,-1,0,unknown,1,0.8419183575589961
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,1,-1,0,unknown,1,0.4407997703759103
31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,0,-1,0,unknown,1,-1.1377966029936128
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,0,-1,0,unknown,1,-0.591847700946503
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,0,-1,0,unknown,1,-1.245821863197069
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,1,-1,0,unknown,1,0.5149818699677304
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,0,-1,0,unknown,1,-0.8693918455868561
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,1,-1,0,unknown,1,-0.13078404574981717
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,1,-1,0,unknown,1,1.0678797175102943
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,1,-1,0,unknown,1,0.5448729063284384
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,1,-1,0,unknown,1,0.8826590146938865
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,0,-1,0,unknown,1,-0.22384732913089375
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,1,-1,0,unknown,1,0.8279644592765412
23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,1,-1,0,unknown,1,1.0908629590204648
60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,0,-1,0,unknown,1,-0.5638790269620451
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,1,-1,0,unknown,1,0.6273364748130164
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,0,-1,0,unknown,1,-0.8777991225399892
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,1,-1,0,unknown,1,0.665018539671999
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,0,-1,0,unknown,1,-0.656611088032814
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,1,-1,0,unknown,1,0.7557655286795618
43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,1,-1,0,unknown,1,-0.28759302477580234
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,1,-1,0,unknown,1,0.4841871218907364
53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,0,-1,0,unknown,1,-0.8600235853189474
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,0,-1,0,unknown,1,-1.0418482910424913
41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,0,-1,0,unknown,1,-0.01877556686237807
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,0,-1,0,unknown,1,-0.2323309064624695
59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,1,-1,0,unknown,1,0.22336095381939983
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,0,-1,0,unknown,1,-1.1471253370860315
48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,1,-1,0,unknown,1,0.7143135352482742
40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,0,-1,0,unknown,1,-0.6398360815362627
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,0,-1,0,unknown,1,-0.7713117447353229
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,0,-1,0,unknown,1,-0.41928926962343177
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,1,-1,0,unknown,1,0.6492801497078924
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,1,-1,0,unknown,1,0.27764603842584423
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,0,-1,0,unknown,1,-0.8747337305774583
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,1,-1,0,unknown,1,0.0012517988078615035
41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,1,-1,0,unknown,1,0.655306267557622
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,0,-1,0,unknown,1,-1.053237118377074
59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,0,-1,0,unknown,1,-0.47192185138216947
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,0,-1,0,unknown,1,-0.7113620376866714
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,1,-1,0,unknown,1,0.8941879901630805
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,1,-1,0,unknown,1,1.0809980084086477
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,0,-1,0,unknown,1,-0.857472649464201
44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,1,-1,0,unknown,1,1.0244268786729984
60,services,single,primary,no,313,yes,no,unknown,15,may,920,1,-1,0,unknown,1,0.8205427903674402
29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,1,-1,0,unknown,1,0.021776564359859783
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,1,-1,0,unknown,1,0.3137920202808149
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,0,-1,0,unknown,1,-0.21622850749636693
42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,1,-1,0,unknown,1,-0.708943039375033
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,0,-1,0,unknown,1,-1.0521229148076647
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,0,-1,0,unknown,1,-0.6956891558845645
31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,0,-1,0,unknown,1,-0.8174024057069468
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,1,-1,0,unknown,1,0.4752175470752036
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,0,-1,0,unknown,1,-0.8206075589204898
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,0,-1,0,unknown,1,-1.0815026867745674
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,1,-1,0,unknown,1,1.2335526015962992
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,1,-1,0,unknown,1,0.7805559695345329
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,0,-1,0,unknown,1,-0.6344254062597354
50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,0,-1,0,unknown,1,-0.23258737229125942
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,0,-1,0,unknown,1,-0.30907558717084227
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,1,-1,0,unknown,1,-0.04144832157695601
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,1,-1,0,unknown,1,0.4658913565460615
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,1,-1,0,unknown,1,0.7384929921792972
37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,1,-1,0,unknown,1,0.5233768128750649
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,0,-1,0,unknown,1,-0.32536728565707645
47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,1,-1,0,unknown,1,1.427213838851682
31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,0,-1,0,unknown,1,-0.8093390875505412
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,1,-1,0,unknown,1,0.9986000375684166
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,1,-1,0,unknown,1,1.3006064984467263
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,1,-1,0,unknown,1,-0.21468521732142817
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,1,-1,0,unknown,1,0.852580074505591
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,1,-1,0,unknown,1,1.870509014410161
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,0,-1,0,unknown,1,-1.386323211056261
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,0,-1,0,unknown,1,-0.2382352293462976
29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,1,-1,0,unknown,1,-0.5464443120359103
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,0,-1,0,unknown,1,-0.26303495157155143
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,1,-1,0,unknown,1,1.0911576581674396
35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,0,-1,0,unknown,1,-0.18173123472479305
34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,1,-1,0,unknown,1,0.4168813964167187
31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,0,-1,0,unknown,1,-0.34913095482082995
44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,1,-1,0,unknown,1,1.582149097594241
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,1,-1,0,unknown,1,0.6782481631404613
35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,1,-1,0,unknown,1,0.6209739644961965
41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,1,-1,0,unknown,1,0.41606948119439385
31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,0,-1,0,unknown,1,-0.9179203071826818
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,0,-1,0,unknown,1,-0.20926212818203632
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,1,-1,0,unknown,1,1.3375355191134615
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,1,-1,0,unknown,1,0.9000594114154756
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,0,-1,0,unknown,1,-0.7961590956697264
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,0,-1,0,unknown,1,-0.5948258853950912
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,1,-1,0,unknown,1,1.9513481570646702
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,1,-1,0,unknown,1,0.9293037805290927
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,0,-1,0,unknown,1,-0.7068961138799364
34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,0,-1,0,unknown,1,-0.04457282988928897
30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,1,-1,0,unknown,1,-0.4981794987184031
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,1,-1,0,unknown,1,0.48349770785935114
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,0,-1,0,unknown,1,-0.8199986432146326
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,1,-1,0,unknown,1,0.9591102058978406
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,1,-1,0,unknown,1,1.04146150386656
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,1,-1,0,unknown,1,0.5419971656130611
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,1,-1,0,unknown,1,1.1162602066478933
30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,0,-1,0,unknown,1,-0.38190924731553477
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,0,-1,0,unknown,1,-0.27589532963751273
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,1,-1,0,unknown,1,1.0854824752486991
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,1,-1,0,unknown,1,1.4406567813634448
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,1,-1,0,unknown,1,0.7360780142392966
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,1,-1,0,unknown,1,1.265507705333955
31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,1,-1,0,unknown,1,0.13549057315614593
30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,1,-1,0,unknown,1,1.628586986599504
44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,1,-1,0,unknown,1,1.4852470383214107
34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,0,-1,0,unknown,1,-0.7183439417788776
37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,1,-1,0,unknown,1,0.9533890230558564
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,1,-1,0,unknown,1,-0.12164308235650821
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,1,-1,0,unknown,1,0.6498336627326162
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,1,-1,0,unknown,1,1.9520169135123278
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,1,-1,0,unknown,1,1.1215536146022675
38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,1,-1,0,unknown,1,1.3954356318059995
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,1,-1,0,unknown,1,1.2643653085316624
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,1,-1,0,unknown,1,0.46109634247633724
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,1,-1,0,unknown,1,0.9370445884803246
24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,1,-1,0,unknown,1,0.846250565619373
26,services,single,secondary,no,901,yes,no,unknown,26,may,764,1,-1,0,unknown,1,1.169010567714009
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,1,-1,0,unknown,1,0.7631300085746027
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,0,-1,0,unknown,1,-0.36635085303615533
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,1,-1,0,unknown,1,1.4608025944202097
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,0,-1,0,unknown,1,-0.38221687441581376
25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,0,-1,0,unknown,1,-0.46982591377119787
44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,1,-1,0,unknown,1,-1.3537157549690335
29,management,married,tertiary,no,314,no,no,unknown,28,may,938,1,-1,0,unknown,1,0.5838849831040984
26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,1,-1,0,unknown,1,-0.12173754851784845
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,1,-1,0,unknown,1,1.2318847475113615
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,1,-1,0,unknown,1,0.979782077862351
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,1,-1,0,unknown,1,1.163537546698292
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,0,-1,0,unknown,1,-1.0719313985759884
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,0,-1,0,unknown,1,0.12082944220985023
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,1,-1,0,unknown,1,0.5997221866074319
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,0,-1,0,unknown,1,0.21402833792680076
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,1,-1,0,unknown,1,1.9817240370121514
35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,0,-1,0,unknown,1,-1.37041931168045
35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,0,-1,0,unknown,1,-0.8670061726913516
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,1,-1,0,unknown,1,1.3123428381172233
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,0,-1,0,unknown,1,-0.08965561696531026
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,0,-1,0,unknown,1,-0.21137111266506425
56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,1,-1,0,unknown,1,1.0658712649616335
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,1,-1,0,unknown,1,0.4879993446724469
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,1,-1,0,unknown,1,1.2830077058905305
45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,1,-1,0,unknown,1,1.4029200840468439
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,1,-1,0,unknown,1,0.921474466605842
38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,1,-1,0,unknown,1,0.18657601457685014
30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,1,-1,0,unknown,1,1.2821541574250324
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,1,-1,0,unknown,1,1.1433430264786995
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,0,-1,0,unknown,1,-0.09986907194031872
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,1,-1,0,unknown,1,1.5573587784325278
36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,1,-1,0,unknown,1,1.5655253813379197
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,0,-1,0,unknown,1,-0.4178532416880504
35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,0,-1,0,unknown,1,-0.12183575872419586
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,1,-1,0,unknown,1,0.8125994446127298
40,services,married,primary,no,1082,yes,no,unknown,30,may,854,1,-1,0,unknown,1,1.933221573161248
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,1,-1,0,unknown,1,1.0489521688588266
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,0,-1,0,unknown,1,-0.002359422643023837
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,1,-1,0,unknown,1,2.1098660586449816
34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,1,-1,0,unknown,1,1.2594865005637605
32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,1,-1,0,unknown,1,0.729317995061995
50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,1,-1,0,unknown,1,0.8645545503536518
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,1,-1,0,unknown,1,0.9627683956973675
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,1,-1,0,unknown,1,1.2339358078711518
